device_id,ipei,device_location,location_name
VOCO_K104,0328E9CBCE,Jewellery 2,ST_UKTK_0376(25/01)_Peterborough Queensgate_New
VOCO_K105,0328E9CBB6,Jewellery 3,ST_UKTK_0376(25/01)_Peterborough Queensgate_New
VOCO_K107,0328E8930B,Sales Floor 3,ST_UKTK_0376(25/01)_Peterborough Queensgate_New
VOCO_K103,0328E9CE67,Click and Collect,ST_UKTK_0383(70/08/01)_Meadowhall_New
VOCO_K102,0328E841C7,Jewellery 1,ST_UKTK_0383(70/08/01)_Meadowhall_New
VOCO_K104,0328EA1195,Jewellery 2,ST_UKTK_0383(70/08/01)_Meadowhall_New
VOCO_K101,0328E9CF07,Sales Floor 1,ST_UKTK_0383(70/08/01)_Meadowhall_New
VOCO_K102,0328E326D4,Handbags 1,ST_UKTK_0757(20/3)_Derby Albion Street
VOCO_K104,0328E843BD,Handbags 2,ST_UKTK_0757(20/3)_Derby Albion Street
VOCO_K101,0328E7B6F4,Click & Collect,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K102,0328E840A3,Fragrance 1,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K105,0328E840BA,Fragrance 2,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K110,0328E84307,Gold Label Handbags 2,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K122,0328E9CD22,Gold Label Handbags 5,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K114,0328E89396,Handbag 8,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K129,0328E9CCC1,Handbags 1,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K103,0328D338CC,Handbags 2,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K130,0328E9CECC,Handbags 3,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K116,0328E8922B,Handbags 4,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K106,0328E88D0D,Handbags 5,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K119,0328E88C47,Handbags 6,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K111,0328E8427C,Jewellery 1,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K104,0328D3378E,Jewellery 2,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K126,0328E88CFB,Mens Gold Label,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K125,0328E86FCF,Mens Outerwear,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K121,0328E88CBB,Sales Floor,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K120,0328E89389,Sales Floor 3,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K127,0328E89398,Sales Floor 3,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K108,0328EA74D9,Sales floor 4,ST_UKTK_0786(115/22/1)_Oxford Street London -1
VOCO_K109,0328E893FA,Womens outerwear,ST_UKTK_0786(115/22/1)_Oxford Street London -1
