snapshot_file,processed_time
TJX_VCV33x0_2026-04-27_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_06-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_08-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_09-30-11.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_10-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_11-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_12-30-11.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_13-30-12.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_14-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_15-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_16-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_17-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_18-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_19-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_20-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_21-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_03-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_06-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_08-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_09-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_10-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_11-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_12-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_13-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_14-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_15-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_16-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_17-30-11.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_18-30-12.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_19-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_21-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-28_23-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_03-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_06-30-10.csv,2026-05-06T12:23:14.212655
